货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S003-HYG-01,Q2T019,S003,7205.0861051342745,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S003-MED-01,Q2T004,S003,1628.6474326968325,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S003-WAT-01,Q2T004,S003,1628.6474326968325,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S003-WAT-02,Q2T019,S003,7205.0861051342745,饮用水,14.0,0.027,7200.0,,10.0,5.086105134274476,0.00706403490871455,False
S003-WAT-03,Q2T019,S003,7205.0861051342745,饮用水,14.0,0.027,7200.0,,10.0,5.086105134274476,0.00706403490871455,False
S003-WAT-04,Q2T019,S003,7205.0861051342745,饮用水,14.0,0.027,7200.0,,10.0,5.086105134274476,0.00706403490871455,False
S004-FOD-01,Q2T015,S004,4582.594691603901,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S004-HYG-01,Q2T015,S004,4582.594691603901,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S004-MED-01,Q2T015,S004,4582.594691603901,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S004-WAT-01,Q2T015,S004,4582.594691603901,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S004-WAT-02,Q2T015,S004,4582.594691603901,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S004-WAT-03,Q2T015,S004,4582.594691603901,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S005-FOD-01,Q2T018,S005,6148.074511992994,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S005-HYG-01,Q2T018,S005,6148.074511992994,生活卫生用品,6.0,0.035,18000.0,,4.0,0.0,0.0,False
S005-MED-01,Q2T002,S005,1130.6363292885658,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S005-WAT-01,Q2T017,S005,5695.141652711871,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S005-WAT-02,Q2T018,S005,6148.074511992994,饮用水,14.0,0.027,10800.0,,8.0,0.0,0.0,False
S005-WAT-03,Q2T018,S005,6148.074511992994,饮用水,14.0,0.027,10800.0,,8.0,0.0,0.0,False
S006-FOD-01,Q2T006,S006,942.0539694110699,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S006-HYG-01,Q2T007,S006,1995.9924701838083,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S006-MED-01,Q2T006,S006,942.0539694110699,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S006-WAT-01,Q2T006,S006,942.0539694110699,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S006-WAT-02,Q2T007,S006,1995.9924701838083,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S006-WAT-03,Q2T007,S006,1995.9924701838083,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S007-FOD-01,Q2T007,S007,1305.7010507431123,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S007-HYG-01,Q2T019,S007,6565.918488080923,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S007-MED-01,Q2T004,S007,1141.2993198680992,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S007-WAT-01,Q2T007,S007,1305.7010507431123,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S007-WAT-02,Q2T007,S007,1305.7010507431123,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S008-FOD-01,Q2T014,S008,4010.1539362786443,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S008-HYG-01,Q2T014,S008,4010.1539362786443,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S008-MED-01,Q2T002,S008,1690.2351254768437,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S008-WAT-01,Q2T002,S008,1690.2351254768437,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S008-WAT-02,Q2T017,S008,6173.94414132265,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S009-FOD-01,Q2T018,S009,6746.656074930435,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S009-MED-01,Q2T018,S009,6746.656074930435,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S009-WAT-01,Q2T018,S009,6746.656074930435,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S010-FOD-01,Q2T003,S010,1074.4634512744026,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S010-MED-01,Q2T012,S010,3093.4258022890913,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S010-WAT-01,Q2T012,S010,3093.4258022890913,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S011-FOD-01,Q2T020,S011,6520.980663394835,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S011-MED-01,Q2T020,S011,6520.980663394835,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S011-WAT-01,Q2T020,S011,6520.980663394835,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S012-FOD-01,Q2T005,S012,1271.8307003260657,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S012-MED-01,Q2T005,S012,1271.8307003260657,医疗物资,3.0,0.012,7200.0,3600.0,22.0,0.0,0.0,True
S012-WAT-01,Q2T005,S012,1271.8307003260657,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S013-FOD-01,Q2T009,S013,2329.315076218476,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S013-MED-01,Q2T009,S013,2329.315076218476,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S013-WAT-01,Q2T009,S013,2329.315076218476,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S014-FOD-01,Q2T003,S014,1537.6076335597227,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S014-MED-01,Q2T001,S014,1272.037842174011,医疗物资,3.0,0.012,7200.0,3600.0,22.0,0.0,0.0,True
S014-WAT-01,Q2T001,S014,1272.037842174011,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S015-FOD-01,Q2T016,S015,5002.63154393792,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S015-MED-01,Q2T016,S015,5002.63154393792,医疗物资,3.0,0.012,7200.0,7200.0,18.0,0.0,0.0,True
S015-WAT-01,Q2T016,S015,5002.63154393792,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
