box_id,service_id,material,sortie_id,model_id,delivery_time,expected_time,hard_deadline,is_first_batch,mass,volume,priority
S004-FOD-01,S004,应急食品,S013,C,1378.6180251555093,10800.0,inf,False,8.0,0.028,8.0
S004-HYG-01,S004,生活卫生用品,S013,C,1414.6180251555093,14400.0,inf,False,6.0,0.035,6.0
S004-MED-01,S004,医疗物资,S013,C,1450.6180251555093,7200.0,7200.0,True,3.0,0.012,20.0
S005-WAT-01,S005,饮用水,S014,C,1094.387671933076,10800.0,10800.0,True,14.0,0.027,8.0
S005-WAT-02,S005,饮用水,S014,C,1130.387671933076,10800.0,inf,False,14.0,0.027,8.0
S005-WAT-03,S005,饮用水,S014,C,1166.387671933076,10800.0,inf,False,14.0,0.027,8.0
S005-FOD-01,S005,应急食品,S014,C,1202.387671933076,14400.0,inf,False,8.0,0.028,6.0
S005-HYG-01,S005,生活卫生用品,S014,C,1238.387671933076,18000.0,inf,False,6.0,0.035,4.0
S005-MED-01,S005,医疗物资,S014,C,1274.387671933076,10800.0,10800.0,True,3.0,0.012,16.0
S006-WAT-01,S006,饮用水,S015,C,1000.9079700193091,3600.0,3600.0,True,14.0,0.027,12.0
S006-WAT-02,S006,饮用水,S015,C,1036.9079700193092,3600.0,inf,False,14.0,0.027,12.0
S006-WAT-03,S006,饮用水,S015,C,1072.9079700193092,3600.0,inf,False,14.0,0.027,12.0
S006-FOD-01,S006,应急食品,S015,C,1108.9079700193092,7200.0,inf,False,8.0,0.028,10.0
S006-HYG-01,S006,生活卫生用品,S015,C,1144.9079700193092,10800.0,inf,False,6.0,0.035,8.0
S006-MED-01,S006,医疗物资,S015,C,1180.9079700193092,3600.0,3600.0,True,3.0,0.012,24.0
S007-WAT-01,S007,饮用水,S016,C,1074.5920446336363,3600.0,3600.0,True,14.0,0.027,12.0
S007-WAT-02,S007,饮用水,S016,C,1110.5920446336363,3600.0,inf,False,14.0,0.027,12.0
S007-FOD-01,S007,应急食品,S016,C,1146.5920446336363,7200.0,inf,False,8.0,0.028,10.0
S007-HYG-01,S007,生活卫生用品,S016,C,1182.5920446336363,10800.0,inf,False,6.0,0.035,8.0
S007-MED-01,S007,医疗物资,S016,C,1218.5920446336363,3600.0,3600.0,True,3.0,0.012,24.0
S008-WAT-01,S008,饮用水,S017,C,1281.9182329593255,7200.0,7200.0,True,14.0,0.027,10.0
S008-WAT-02,S008,饮用水,S017,C,1317.9182329593255,7200.0,inf,False,14.0,0.027,10.0
S008-FOD-01,S008,应急食品,S017,C,1353.9182329593255,10800.0,inf,False,8.0,0.028,8.0
S008-HYG-01,S008,生活卫生用品,S017,C,1389.9182329593255,14400.0,inf,False,6.0,0.035,6.0
S008-MED-01,S008,医疗物资,S017,C,1425.9182329593255,7200.0,7200.0,True,3.0,0.012,20.0
S009-WAT-01,S009,饮用水,S018,C,1046.442984559225,10800.0,10800.0,True,14.0,0.027,8.0
S009-FOD-01,S009,应急食品,S018,C,1082.442984559225,14400.0,inf,False,8.0,0.028,6.0
S009-MED-01,S009,医疗物资,S018,C,1118.442984559225,10800.0,10800.0,True,3.0,0.012,16.0
S010-WAT-01,S010,饮用水,S019,C,1032.1342554207608,3600.0,3600.0,True,14.0,0.027,12.0
S010-FOD-01,S010,应急食品,S019,C,1068.1342554207608,7200.0,inf,False,8.0,0.028,10.0
S010-MED-01,S010,医疗物资,S019,C,1104.1342554207608,3600.0,3600.0,True,3.0,0.012,24.0
S011-WAT-01,S011,饮用水,S020,C,845.5722349567143,10800.0,10800.0,True,14.0,0.027,8.0
S011-FOD-01,S011,应急食品,S020,C,881.5722349567143,14400.0,inf,False,8.0,0.028,6.0
S011-MED-01,S011,医疗物资,S020,C,917.5722349567143,10800.0,10800.0,True,3.0,0.012,16.0
S012-WAT-01,S012,饮用水,S021,C,1178.1132585920093,3600.0,3600.0,True,14.0,0.027,12.0
S012-FOD-01,S012,应急食品,S021,C,1214.1132585920093,7200.0,inf,False,8.0,0.028,10.0
S012-MED-01,S012,医疗物资,S021,C,1250.1132585920093,7200.0,3600.0,True,3.0,0.012,22.0
S013-WAT-01,S013,饮用水,S022,C,1036.8664914454703,3600.0,3600.0,True,14.0,0.027,12.0
S013-FOD-01,S013,应急食品,S022,C,1072.8664914454703,7200.0,inf,False,8.0,0.028,10.0
S013-MED-01,S013,医疗物资,S022,C,1108.8664914454703,3600.0,3600.0,True,3.0,0.012,24.0
S014-WAT-01,S014,饮用水,S023,C,1074.0429194500723,3600.0,3600.0,True,14.0,0.027,12.0
S014-FOD-01,S014,应急食品,S023,C,1110.0429194500723,7200.0,inf,False,8.0,0.028,10.0
S014-MED-01,S014,医疗物资,S023,C,1146.0429194500723,7200.0,3600.0,True,3.0,0.012,22.0
S015-WAT-01,S015,饮用水,S024,C,1164.0197812409908,10800.0,10800.0,True,14.0,0.027,8.0
S015-FOD-01,S015,应急食品,S024,C,1200.0197812409908,14400.0,inf,False,8.0,0.028,6.0
S015-MED-01,S015,医疗物资,S024,C,1236.0197812409908,7200.0,7200.0,True,3.0,0.012,18.0
