货箱,服务区,物资类型,运输架次,交付完成_s,期望_s,硬截止_s,首批,优先系数,迟到_s,按期望送达
S005-WAT-03,S005,饮用水,Q3T025,18268.43684631573,10800.0,,False,8.0,7468.43684631573,False
S006-FOD-01,S006,应急食品,Q3T016,7446.732720775061,7200.0,,False,10.0,246.73272077506135,False
S006-HYG-01,S006,生活卫生用品,Q3T016,7446.732720775061,10800.0,,False,8.0,0.0,True
S006-MED-01,S006,医疗物资,Q3T008,2792.085069219553,3600.0,3600.0,True,24.0,0.0,True
S006-WAT-01,S006,饮用水,Q3T008,2792.085069219553,3600.0,3600.0,True,12.0,0.0,True
S006-WAT-02,S006,饮用水,Q3T016,7446.732720775061,3600.0,,False,12.0,3846.7327207750614,False
S006-WAT-03,S006,饮用水,Q3T016,7446.732720775061,3600.0,,False,12.0,3846.7327207750614,False
S007-FOD-01,S007,应急食品,Q3T016,8133.654140215757,7200.0,,False,10.0,933.6541402157573,False
S007-HYG-01,S007,生活卫生用品,Q3T016,8133.654140215757,10800.0,,False,8.0,0.0,True
S007-MED-01,S007,医疗物资,Q3T003,1141.2993198680992,3600.0,3600.0,True,24.0,0.0,True
S007-WAT-01,S007,饮用水,Q3T003,1141.2993198680992,3600.0,3600.0,True,12.0,0.0,True
S007-WAT-02,S007,饮用水,Q3T016,8133.654140215757,3600.0,,False,12.0,4533.654140215757,False
S008-FOD-01,S008,应急食品,Q3T024,17133.93174682621,10800.0,,False,8.0,6333.931746826209,False
S008-HYG-01,S008,生活卫生用品,Q3T024,17133.93174682621,14400.0,,False,6.0,2733.931746826209,False
S008-MED-01,S008,医疗物资,Q3T015,6481.675074492461,7200.0,7200.0,True,20.0,0.0,True
S008-WAT-01,S008,饮用水,Q3T015,6481.675074492461,7200.0,7200.0,True,10.0,0.0,True
S008-WAT-02,S008,饮用水,Q3T024,17133.93174682621,7200.0,,False,10.0,9933.931746826209,False
S009-FOD-01,S009,应急食品,Q3T020,12515.962402391631,14400.0,,False,6.0,0.0,True
S009-MED-01,S009,医疗物资,Q3T011,4277.197919578376,10800.0,10800.0,True,16.0,0.0,True
S009-WAT-01,S009,饮用水,Q3T011,4277.197919578376,10800.0,10800.0,True,8.0,0.0,True
S010-FOD-01,S010,应急食品,Q3T017,8485.256060085081,7200.0,,False,10.0,1285.2560600850811,False
S010-MED-01,S010,医疗物资,Q3T005,1095.7555421881418,3600.0,3600.0,True,24.0,0.0,True
S010-WAT-01,S010,饮用水,Q3T005,1095.7555421881418,3600.0,3600.0,True,12.0,0.0,True
S011-FOD-01,S011,应急食品,Q3T025,17626.465363930914,14400.0,,False,6.0,3226.4653639309145,False
S011-MED-01,S011,医疗物资,Q3T012,4195.770762758504,10800.0,10800.0,True,16.0,0.0,True
S011-WAT-01,S011,饮用水,Q3T012,4195.770762758504,10800.0,10800.0,True,8.0,0.0,True
S012-FOD-01,S012,应急食品,Q3T020,12969.908209231166,7200.0,,False,10.0,5769.9082092311655,False
S012-MED-01,S012,医疗物资,Q3T001,1335.1381930141902,7200.0,3600.0,True,22.0,0.0,True
S012-WAT-01,S012,饮用水,Q3T001,1335.1381930141902,3600.0,3600.0,True,12.0,0.0,True
S013-FOD-01,S013,应急食品,Q3T019,12583.36666123571,7200.0,,False,10.0,5383.36666123571,False
S013-MED-01,S013,医疗物资,Q3T006,2669.481859061031,3600.0,3600.0,True,24.0,0.0,True
S013-WAT-01,S013,饮用水,Q3T006,2669.481859061031,3600.0,3600.0,True,12.0,0.0,True
S014-FOD-01,S014,应急食品,Q3T017,8919.094062570239,7200.0,,False,10.0,1719.0940625702387,False
S014-MED-01,S014,医疗物资,Q3T002,1272.037842174011,7200.0,3600.0,True,22.0,0.0,True
S014-WAT-01,S014,饮用水,Q3T002,1272.037842174011,3600.0,3600.0,True,12.0,0.0,True
S015-FOD-01,S015,应急食品,Q3T024,17906.298361477653,14400.0,,False,6.0,3506.298361477653,False
S015-MED-01,S015,医疗物资,Q3T009,3247.507967331665,7200.0,7200.0,True,18.0,0.0,True
S015-WAT-01,S015,饮用水,Q3T009,3247.507967331665,10800.0,10800.0,True,8.0,0.0,True
