资源类别,资源编号,架次,开始_s,结束_s
共享电池任务,BAT-C04,Q3T025,16663.959669086824,18773.82465486377
共享电池充电,BAT-C04,Q3T025,18773.82465486377,20709.191115019115
中继无人机任务,R01,Q3R001,71.47100179663573,4526.658056697759
中继无人机周转,R01,Q3R001,4526.658056697759,4826.658056697759
能源组件任务,RE-01,Q3R001,71.47100179663573,4526.658056697759
能源组件充电,RE-01,Q3R001,4526.658056697759,5541.712901410186
中继无人机任务,R02,Q3R002,79.66988417616722,2032.7568961161776
中继无人机周转,R02,Q3R002,2032.7568961161776,2332.756896116178
能源组件任务,RE-02,Q3R002,79.66988417616722,2032.7568961161776
能源组件充电,RE-02,Q3R002,2032.7568961161776,2737.555427907154
中继无人机任务,R02,Q3R003,3651.663863740841,4528.407803320431
中继无人机周转,R02,Q3R003,4528.407803320431,4828.407803320431
能源组件任务,RE-03,Q3R003,3651.663863740841,4528.407803320431
能源组件充电,RE-03,Q3R003,4528.407803320431,4905.2101489886245
中继无人机任务,R01,Q3R004,4989.711500466879,7200.033354802827
中继无人机周转,R01,Q3R004,7200.033354802827,7500.033354802827
能源组件任务,RE-04,Q3R004,4989.711500466879,7200.033354802827
能源组件充电,RE-04,Q3R004,7200.033354802827,7942.42301848578
中继无人机任务,R02,Q3R005,5149.73586420039,8669.343576375635
中继无人机周转,R02,Q3R005,8669.343576375635,8969.343576375635
能源组件任务,RE-05,Q3R005,5149.73586420039,8669.343576375635
能源组件充电,RE-05,Q3R005,8669.343576375635,9569.170830205223
中继无人机任务,R01,Q3R006,7598.467549922362,13694.122646050198
中继无人机周转,R01,Q3R006,13694.122646050198,13994.122646050198
能源组件任务,RE-06,Q3R006,7598.467549922362,13694.122646050198
能源组件充电,RE-06,Q3R006,13694.122646050198,14913.146209124907
中继无人机任务,R02,Q3R007,9114.149109159323,10784.635467029064
中继无人机周转,R02,Q3R007,10784.635467029064,11084.635467029064
能源组件任务,RE-02,Q3R007,9114.149109159323,10784.635467029064
能源组件充电,RE-02,Q3R007,10784.635467029064,11457.84572604354
中继无人机任务,R02,Q3R008,12131.666381523703,12985.817727985754
中继无人机周转,R02,Q3R008,12985.817727985754,13285.817727985754
能源组件任务,RE-03,Q3R008,12131.666381523703,12985.817727985754
能源组件充电,RE-03,Q3R008,12985.817727985754,13350.604150191715
中继无人机任务,R02,Q3R009,13623.261793061822,15864.649100674116
中继无人机周转,R02,Q3R009,15864.649100674116,16164.649100674116
能源组件任务,RE-01,Q3R009,13623.261793061822,15864.649100674116
能源组件充电,RE-01,Q3R009,15864.649100674116,16605.808370256742
中继无人机任务,R01,Q3R010,14644.850721488077,17733.773144052637
中继无人机周转,R01,Q3R010,17733.773144052637,18033.773144052637
能源组件任务,RE-04,Q3R010,14644.850721488077,17733.773144052637
能源组件充电,RE-04,Q3R010,17733.773144052637,18585.2252046598
中继无人机任务,R02,Q3R011,16645.999903732096,18788.366641380282
中继无人机周转,R02,Q3R011,18788.366641380282,19088.366641380282
能源组件任务,RE-05,Q3R011,16645.999903732096,18788.366641380282
能源组件充电,RE-05,Q3R011,18788.366641380282,19515.575810972518
