货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S006-WAT-01,Q2T011,S006,2836.503684335527,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S006-WAT-02,Q2T011,S006,2836.503684335527,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S006-WAT-03,Q2T011,S006,2836.503684335527,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S007-FOD-01,Q2T003,S007,1141.2993198680992,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S007-HYG-01,Q2T017,S007,6244.3090119127055,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S007-MED-01,Q2T001,S007,1141.2993198680992,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S007-WAT-01,Q2T001,S007,1141.2993198680992,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S007-WAT-02,Q2T003,S007,1141.2993198680992,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S008-FOD-01,Q2T013,S008,4688.010571682239,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S008-HYG-01,Q2T013,S008,4688.010571682239,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S008-MED-01,Q2T013,S008,4688.010571682239,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S008-WAT-01,Q2T013,S008,4688.010571682239,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S008-WAT-02,Q2T013,S008,4688.010571682239,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S009-FOD-01,Q2T015,S009,4876.384388703466,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S009-MED-01,Q2T015,S009,4876.384388703466,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S009-WAT-01,Q2T015,S009,4876.384388703466,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S010-FOD-01,Q2T002,S010,1104.4634512744026,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S010-MED-01,Q2T002,S010,1104.4634512744026,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S010-WAT-01,Q2T004,S010,1044.4634512744026,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S011-FOD-01,Q2T019,S011,6496.861713257258,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S011-MED-01,Q2T019,S011,6496.861713257258,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S011-WAT-01,Q2T019,S011,6496.861713257258,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S012-FOD-01,Q2T005,S012,1271.8307003260657,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S012-MED-01,Q2T005,S012,1271.8307003260657,医疗物资,3.0,0.012,7200.0,3600.0,22.0,0.0,0.0,True
S012-WAT-01,Q2T005,S012,1271.8307003260657,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S013-FOD-01,Q2T006,S013,1062.733804063003,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S013-MED-01,Q2T006,S013,1062.733804063003,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S013-WAT-01,Q2T006,S013,1062.733804063003,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S014-FOD-01,Q2T010,S014,2752.256832060527,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S014-MED-01,Q2T010,S014,2752.256832060527,医疗物资,3.0,0.012,7200.0,3600.0,22.0,0.0,0.0,True
S014-WAT-01,Q2T010,S014,2752.256832060527,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S015-FOD-01,Q2T014,S015,4597.2264398363895,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S015-MED-01,Q2T014,S015,4597.2264398363895,医疗物资,3.0,0.012,7200.0,7200.0,18.0,0.0,0.0,True
S015-WAT-01,Q2T014,S015,4597.2264398363895,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
