运输架次编号,通信阶段,开始时刻,结束时刻,保障方式,中继架次编号
Q3T017,下降 O01→S009,10439.330428505014,10494.62199244642,中继,Q3R007
Q3T017,投送 S009,10464.62199344642,10704.62199244642,中继,Q3R007
Q3T017,爬升 S009→O01,10674.62199344642,10725.698296564258,中继,Q3R007
Q3T017,巡航 S009→O01,10695.698297564259,10815.698297564259,中继,Q3R007
Q3T017,巡航 S009→O01,10815.698297564259,11107.210322778568,直连,
Q3T017,下降 S009→O01,11077.210323778569,11167.210323778569,直连,
Q3T018,爬升 O01→S003,15643.04043417625,15846.682088449686,直连,
Q3T018,巡航 O01→S003,15816.682089449687,16086.682089449687,直连,
Q3T018,巡航 O01→S003,16086.682089449687,16326.682089449687,中继,Q3R008
Q3T018,下降 O01→S003,16300.75379414067,16442.405862232466,中继,Q3R008
Q3T018,投送 S003,16412.405863232467,16832.405863232467,中继,Q3R008
Q3T018,爬升 S003→O01,16808.405863232467,16927.727517505904,中继,Q3R008
Q3T018,巡航 S003→O01,16897.727518505904,17137.727518505904,中继,Q3R008
Q3T018,巡航 S003→O01,17137.727518505904,17407.727518505904,直连,
Q3T018,下降 S003→O01,17381.799223196886,17621.799223196886,直连,
Q3T019,爬升 O01→S006,18108.851292288684,18228.851292288684,直连,
Q3T019,巡航 O01→S006,18204.21042803087,18444.21042803087,直连,
Q3T019,下降 O01→S006,18416.27931524793,18471.928233925664,直连,
Q3T019,投送 S006,18441.928234925665,18795.928233925664,直连,
Q3T019,爬升 S006→S007,18765.928234925665,18906.152765175666,直连,
Q3T019,巡航 S006→S007,18876.152766175666,18996.152766175666,直连,
Q3T019,巡航 S006→S007,18996.152766175666,19056.152766175666,中继,Q3R009
Q3T019,巡航 S006→S007,19043.918989303864,19073.918989303864,直连,
Q3T019,下降 S006→S007,19043.918990303864,19073.918990303864,直连,
Q3T019,下降 S006→S007,19073.918990303864,19193.918990303864,中继,Q3R009
Q3T019,投送 S007,19164.849654366364,19482.849653366364,中继,Q3R009
Q3T019,爬升 S007→O01,19452.849654366364,19542.849654366364,中继,Q3R009
Q3T019,巡航 S007→O01,19518.238924385896,19578.238924385896,中继,Q3R009
Q3T019,巡航 S007→O01,19578.238924385896,19848.238924385896,直连,
Q3T019,下降 S007→O01,19820.49411758506,20042.630704109477,直连,
Q3T020,爬升 O01→S004,18198.851292288684,18337.06695779259,直连,
Q3T020,巡航 O01→S004,18307.06695879259,18697.06695879259,直连,
Q3T020,巡航 O01→S004,18697.06695879259,18847.06695879259,中继,Q3R009
Q3T020,下降 O01→S004,18823.444454892713,18938.414037022594,中继,Q3R009
Q3T020,投送 S004,18908.414038022594,19262.414037022594,中继,Q3R009
Q3T020,爬升 S004→O01,19232.414038022594,19322.414038022594,中继,Q3R009
Q3T020,巡航 S004→O01,19300.3897045265,19450.3897045265,中继,Q3R009
Q3T020,巡航 S004→O01,19450.3897045265,19840.3897045265,直连,
Q3T020,下降 S004→O01,19816.767200626622,19982.036782756506,直连,
Q3T021,爬升 O01→S002,20372.036783756506,20474.538484416662,直连,
Q3T021,巡航 O01→S002,20444.538485416662,20714.538485416662,直连,
Q3T021,巡航 O01→S002,20714.538485416662,20970.223718972597,中继,Q3R010
Q3T021,下降 O01→S002,20940.223719972597,21014.950846047792,中继,Q3R010
Q3T021,投送 S002,20984.950847047792,21338.950846047792,中继,Q3R010
Q3T021,爬升 S002→O01,21308.950847047792,21368.950847047792,中继,Q3R010
Q3T021,巡航 S002→O01,21344.732548707947,21584.732548707947,中继,Q3R010
Q3T021,巡航 S002→O01,21584.732548707947,21870.41778226388,直连,
Q3T021,下降 S002→O01,21840.41778326388,21960.41778326388,直连,
Q3T022,爬升 O01→S001,20487.20776769112,20575.35041073409,直连,
Q3T022,巡航 O01→S001,20545.35041173409,20779.57783248668,直连,
Q3T022,下降 O01→S001,20749.57783348668,20824.10613754039,直连,
Q3T022,投送 S001,20794.106138540392,21112.10613754039,直连,
Q3T022,爬升 S001→O01,21082.106138540392,21142.106138540392,直连,
Q3T022,巡航 S001→O01,21117.72878258336,21351.95620333595,直连,
Q3T022,下降 S001→O01,21321.95620433595,21424.634508389663,直连,
Q3T023,爬升 O01→S001,22487.33927145802,22575.481914500986,直连,
Q3T023,巡航 O01→S001,22545.481915500986,22779.709336253578,直连,
Q3T023,下降 O01→S001,22749.70933725358,22824.23764130729,直连,
Q3T023,投送 S001,22794.23764230729,23184.23764130729,直连,
Q3T023,爬升 S001→S013,23154.23764230729,23261.981965037758,直连,
Q3T023,巡航 S001→S013,23231.981966037758,23351.981966037758,直连,
Q3T023,巡航 S001→S013,23351.981966037758,23454.932209489198,中继,Q3R011
Q3T023,下降 S001→S013,23424.932210489198,23468.262614152285,中继,Q3R011
Q3T023,投送 S013,23438.262615152285,23678.262615152285,中继,Q3R011
Q3T023,爬升 S013→O01,23654.262615152285,23703.255343644472,中继,Q3R011
Q3T023,巡航 S013→O01,23673.255344644473,23733.255344644473,中继,Q3R011
Q3T023,巡航 S013→O01,23733.255344644473,24026.502476971797,直连,
Q3T023,下降 S013→O01,23996.502477971797,24162.243388837032,直连,
Q3T024,爬升 O01→S008,22705.789849062818,22825.789849062818,直连,
Q3T024,巡航 O01→S008,22803.873581972974,23103.873581972974,直连,
Q3T024,巡航 O01→S008,23103.873581972974,23373.873581972974,中继,Q3R011
Q3T024,下降 O01→S008,23344.505127634853,23425.509792772547,中继,Q3R011
Q3T024,投送 S008,23395.509793772548,23713.509792772547,中继,Q3R011
Q3T024,爬升 S008→S015,23683.509793772548,23803.509793772548,中继,Q3R011
Q3T024,爬升 S008→S015,23803.509793772548,23890.59395781161,直连,
Q3T024,巡航 S008→S015,23860.59395881161,24010.59395881161,直连,
Q3T024,巡航 S008→S015,24010.59395881161,24040.59395881161,中继,Q3R012
Q3T024,巡航 S008→S015,24040.59395881161,24070.59395881161,直连,
Q3T024,巡航 S008→S015,24070.59395881161,24153.164737502117,中继,Q3R012
Q3T024,下降 S008→S015,24123.164738502117,24272.719943800945,中继,Q3R012
Q3T024,投送 S015,24242.719944800945,24482.719944800945,中继,Q3R012
Q3T024,爬升 S015→O01,24458.719944800945,24518.719944800945,中继,Q3R012
Q3T024,巡航 S015→O01,24497.63964694938,24647.63964694938,中继,Q3R012
Q3T024,巡航 S015→O01,24647.63964694938,24928.913909185252,直连,
Q3T024,下降 S015→O01,24898.913910185252,25150.9635368708,直连,
Q3T025,爬升 O01→S011,24582.243389837036,24672.243389837036,直连,
Q3T025,巡航 O01→S011,24649.308091985473,24859.308091985473,直连,
Q3T025,下降 O01→S011,24837.11820699558,24908.749083681127,直连,
Q3T025,投送 S011,24878.749084681127,25118.749084681127,直连,
Q3T025,爬升 S011→S005,25094.749084681127,25179.722609071752,直连,
Q3T025,巡航 S011→S005,25149.722610071753,25359.722610071753,直连,
Q3T025,下降 S011→S005,25337.24006474661,25444.50697048489,中继,Q3R013
Q3T025,投送 S005,25414.50697148489,25768.50697048489,中继,Q3R013
Q3T025,爬升 S005→O01,25738.50697148489,25821.07132595364,中继,Q3R013
Q3T025,巡航 S005→O01,25791.07132695364,25851.07132695364,中继,Q3R013
Q3T025,巡航 S005→O01,25851.07132695364,26174.53933469699,直连,
Q3T025,下降 S005→O01,26144.53933569699,26264.53933569699,直连,
