货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S010-FOD-01,Q2T010,S010,3120.450792407033,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S010-MED-01,Q2T010,S010,3120.450792407033,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S010-WAT-01,Q2T010,S010,3120.450792407033,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S011-FOD-01,Q2T014,S011,4895.161185098885,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S011-MED-01,Q2T016,S011,7116.024094661948,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S011-WAT-01,Q2T016,S011,7116.024094661948,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S012-FOD-01,Q2T009,S012,3396.188415823912,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S012-MED-01,Q2T009,S012,3396.188415823912,医疗物资,3.0,0.012,7200.0,3600.0,22.0,0.0,0.0,True
S012-WAT-01,Q2T002,S012,1563.1737460573497,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S013-FOD-01,Q2T002,S013,1053.5455873948342,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S013-MED-01,Q2T001,S013,1083.5455873948342,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S013-WAT-01,Q2T001,S013,1083.5455873948342,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S014-FOD-01,Q2T004,S014,1241.8558906011879,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S014-MED-01,Q2T004,S014,1241.8558906011879,医疗物资,3.0,0.012,7200.0,3600.0,22.0,0.0,0.0,True
S014-WAT-01,Q2T004,S014,1241.8558906011879,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S015-FOD-01,Q2T018,S015,9192.06839776293,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S015-MED-01,Q2T012,S015,5627.674975205032,医疗物资,3.0,0.012,7200.0,7200.0,18.0,0.0,0.0,True
S015-WAT-01,Q2T017,S015,8589.15232805371,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
