K,canonical_units,transport_zero_augmentation,all_inventory_feasible,total_shortage,shortage_resource_types,relay_copy_count,relay_delta_energy_kWh,CV_transport_workload,CV_joint_workload,max_min_transport_workload_ratio,geo_compactness_km,pareto,selected,theoretical_relay_min,total_A_drone,total_B_drone,total_C_drone,total_A_battery,total_B_battery,total_C_battery,total_relay_drone,total_relay_energy,shortage_A_drone,shortage_B_drone,shortage_C_drone,shortage_A_battery,shortage_B_battery,shortage_C_battery,shortage_relay_drone,shortage_relay_energy,group_1_services,group_2_services,group_3_services
3,"1,2,9|3,6,7|4,5,8",False,False,10,5,5,3.119082955218959,0.050472353725735386,0.10454059922731436,1.124963093078156,,1,0,0,5,3,5,6,3,6,5,6,1,1,3,0,0,2,3,0,S001;S002;S010;S013;S014,S003;S006;S007;S008;S015,S004;S005;S009;S011;S012
3,"1,2,9|3,6,8|4,5,7",False,False,13,4,8,4.844585130581786,0.018126181748253874,0.039630134989834864,1.0442367255931257,,1,0,0,4,2,5,6,2,7,6,9,0,0,3,0,0,3,4,3,S001;S002;S010;S013;S014,S003;S006;S007;S009;S012,S004;S005;S008;S011;S015
3,"1,2,7|3,8,9|4,5,6",False,False,14,4,6,3.1964215923229817,0.08296337482352743,0.10951057043125077,1.220312041319722,,1,0,0,4,2,5,6,2,7,6,10,0,0,3,0,0,3,4,4,S001;S002;S008;S013;S015,S003;S009;S010;S012;S014,S004;S005;S006;S007;S011
3,"1,3,4,5,6,7,9|2|8",False,False,6,4,4,2.2366182260831664,0.9776726808324461,0.8385691435916349,9.659456260400646,,1,0,0,5,2,3,6,2,4,5,7,1,0,1,0,0,0,3,1,S001;S003;S004;S005;S006;S007;S008;S010;S011;S013;S014;S015,S002,S009;S012
3,"1,3,4,6,7,8,9|2|5",False,False,7,4,2,0.789288302200559,1.0268907216645664,0.9432169242644451,9.94826621628896,,1,0,0,4,2,4,6,2,5,5,7,0,0,2,0,0,1,3,1,S001;S003;S004;S006;S007;S008;S009;S010;S012;S013;S014;S015,S002,S005;S011
3,"1,3,4,6,7,8|2,9|5",False,False,7,4,4,2.133841813072584,0.7774835445748094,0.6654714692615925,6.911058216447395,,1,0,0,4,2,4,6,2,5,5,7,0,0,2,0,0,1,3,1,S001;S003;S004;S006;S007;S008;S009;S012;S013;S015,S002;S010;S014,S005;S011
3,"1,3,5,6|2,4,7,8|9",True,False,6,2,7,3.918458176871948,0.4476729598994011,0.34185310751514913,3.6329607557263817,,1,1,0,4,2,2,6,2,4,6,8,0,0,0,0,0,0,4,2,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S009;S012;S015,S010;S014
3,"1,3,5,6|2,4,7,9|8",False,False,6,4,7,3.918458176871948,0.44379731116731014,0.4296375231380506,3.5784142225244073,,1,0,0,5,3,2,6,3,4,5,7,1,1,0,0,0,0,3,1,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S010;S014;S015,S009;S012
3,"1,3,5,6|2,4,7|8,9",False,False,8,4,7,3.918458176871948,0.24813265227796272,0.16722298283536918,1.8027405976491986,,1,0,0,5,3,2,6,3,4,6,8,1,1,0,0,0,0,4,2,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S015,S009;S010;S012;S014
3,"1,3,6,7|2,4,5,9|8",False,False,7,5,5,2.8338384187857577,0.45859630389618267,0.40030005405839386,3.9069488822068115,,1,0,0,5,3,3,6,3,5,5,6,1,1,1,0,0,1,3,0,S001;S003;S006;S007;S008;S013;S015,S002;S004;S005;S010;S011;S014,S009;S012
3,"1,3,6,7|2,4,8,9|5",False,False,9,5,3,1.38650849490315,0.5015426607427423,0.518929555232368,4.828908381025151,,1,0,0,5,3,4,6,3,6,5,6,1,1,2,0,0,2,3,0,S001;S003;S006;S007;S008;S013;S015,S002;S004;S009;S010;S012;S014,S005;S011
3,"1,3,7|2,4,6,9|5,8",False,False,12,6,4,2.397046370669993,0.2319922521555462,0.28629222142296773,1.7764285902223436,,1,0,0,5,3,5,6,3,7,5,7,1,1,3,0,0,3,3,1,S001;S003;S008;S013;S015,S002;S004;S006;S007;S010;S014,S005;S009;S011;S012
3,"1,3,7|2,4,8,9|5,6",False,False,9,4,4,1.9177983845283493,0.2651696980428183,0.30732765738189743,1.9683781237705589,,1,0,0,5,2,4,6,2,7,5,6,1,0,2,0,0,3,3,0,S001;S003;S008;S013;S015,S002;S004;S009;S010;S012;S014,S005;S006;S007;S011
3,"1,3,9|2,4,7,8|5,6",False,False,8,4,7,4.03132150933496,0.2771493416034545,0.31532548802700905,2.058576538132814,,1,0,0,4,2,3,6,2,6,5,8,0,0,1,0,0,2,3,2,S001;S003;S010;S013;S014,S002;S004;S008;S009;S012;S015,S005;S006;S007;S011
3,"1,3|2,4,7,8,9|5,6",False,False,7,4,6,3.0024181426145398,0.47177721775182035,0.5234721919588379,2.6406878722138805,,1,0,0,4,2,3,6,2,6,5,7,0,0,1,0,0,2,3,1,S001;S003;S013,S002;S004;S008;S009;S010;S012;S014;S015,S005;S006;S007;S011
3,"1,3,5,6|2,9|4,7,8",False,False,6,3,7,3.918458176871948,0.29641955633669964,0.1453388305013571,2.173926136861034,,1,0,0,4,2,3,6,2,4,6,7,0,0,1,0,0,0,4,1,S001;S003;S005;S006;S007;S011;S013,S002;S010;S014,S004;S008;S009;S012;S015
3,"1,3,5,6|2|4,7,8,9",False,False,7,3,6,2.9923312231621098,0.5339669107951412,0.47010410548006193,5.759120716853375,,1,0,0,4,2,3,6,2,4,6,8,0,0,1,0,0,0,4,2,S001;S003;S005;S006;S007;S011;S013,S002,S004;S008;S009;S010;S012;S014;S015
3,"1,3,5|2,6,7|4,8,9",False,False,12,6,6,2.9923312231621098,0.003928882954482073,0.060872251721459346,1.0096631321828653,,1,0,0,5,3,4,6,3,6,6,8,1,1,2,0,0,2,4,2,S001;S003;S005;S011;S013,S002;S006;S007;S008;S015,S004;S009;S010;S012;S014
3,"1,3,5|2,6,9|4,7,8",False,False,10,5,8,4.449748066497147,0.04475320688215437,0.10356618893353124,1.1159109533128193,,1,0,0,4,3,4,6,3,5,6,8,0,1,2,0,0,1,4,2,S001;S003;S005;S011;S013,S002;S006;S007;S010;S014,S004;S008;S009;S012;S015
3,"1,3,5|2,7,9|4,6,8",False,False,11,5,7,3.749751460783973,0.033064676839927094,0.15624880142661704,1.0841391611152535,,1,0,0,5,2,4,6,2,6,6,8,1,0,2,0,0,2,4,2,S001;S003;S005;S011;S013,S002;S008;S010;S014;S015,S004;S006;S007;S009;S012
3,"1,3,5|2,8,9|4,6,7",False,False,10,6,5,2.697258600986005,0.009653035865300025,0.07054189054088918,1.0223656476142282,,1,0,0,5,3,4,6,3,5,6,7,1,1,2,0,0,1,4,1,S001;S003;S005;S011;S013,S002;S009;S010;S012;S014,S004;S006;S007;S008;S015
3,"1,3,5|2,9|4,6,7,8",False,False,8,4,6,3.218461571158774,0.3134360511876493,0.1909546114774723,2.250975100361415,,1,0,0,4,2,4,6,2,5,6,7,0,0,2,0,0,1,4,1,S001;S003;S005;S011;S013,S002;S010;S014,S004;S006;S007;S008;S009;S012;S015
3,"1,3,6|2,5,9|4,7,8",False,False,8,5,7,3.918458176871948,0.060407584797340735,0.06683136109453257,1.14951896703511,,1,0,0,4,3,3,6,3,5,6,7,0,1,1,0,0,1,4,1,S001;S003;S006;S007;S013,S002;S005;S010;S011;S014,S004;S008;S009;S012;S015
3,"1,3,7|2,5,8,9|4,6",False,False,13,6,3,1.8758434004972238,0.3010784751943834,0.2945834471632656,2.204047822970985,,1,0,0,5,3,5,6,3,7,6,7,1,1,3,0,0,3,4,1,S001;S003;S008;S013;S015,S002;S005;S009;S010;S011;S012;S014,S004;S006;S007
3,"1,3,7|2,5,8|4,6,9",False,False,14,6,4,2.397046370669993,0.09095109910417341,0.04914168891832897,1.2241897855122248,,1,0,0,5,3,5,6,3,7,6,8,1,1,3,0,0,3,4,2,S001;S003;S008;S013;S015,S002;S005;S009;S011;S012,S004;S006;S007;S010;S014
3,"1,3,6,7|2,9|4,5,8",False,False,8,5,4,2.565753086757968,0.34768882540216234,0.17986569933850158,2.3735145688130177,,1,0,0,5,3,4,6,3,5,5,6,1,1,2,0,0,1,3,0,S001;S003;S006;S007;S008;S013;S015,S002;S010;S014,S004;S005;S009;S011;S012
3,"1,3,6|2,7,8,9|4,5",False,False,7,5,6,3.397255206699179,0.34930116629692737,0.36845158380349247,2.5331022932441285,,1,0,0,4,3,3,6,3,5,5,7,0,1,1,0,0,1,3,1,S001;S003;S006;S007;S013,S002;S008;S009;S010;S012;S014;S015,S004;S005;S011
3,"1,3,6|2,7,8|4,5,9",False,False,9,5,7,3.918458176871948,0.05384859072430911,0.07998497577004303,1.12910468532296,,1,0,0,4,3,3,6,3,5,6,8,0,1,1,0,0,1,4,2,S001;S003;S006;S007;S013,S002;S008;S009;S012;S015,S004;S005;S010;S011;S014
3,"1,3,6|2,7,9|4,5,8",False,False,8,6,6,3.650372844844158,0.049752696696508204,0.16398090140390692,1.1162854844890573,,1,0,0,5,3,3,6,3,5,5,7,1,1,1,0,0,1,3,1,S001;S003;S006;S007;S013,S002;S008;S010;S014;S015,S004;S005;S009;S011;S012
3,"1,3,7|2,8,9|4,5,6",False,False,11,5,4,2.143928732525014,0.09897118910632231,0.09633200958372859,1.2723202922534445,,1,0,0,5,2,5,6,2,6,6,7,1,0,3,0,0,2,4,1,S001;S003;S008;S013;S015,S002;S009;S010;S012;S014,S004;S005;S006;S007;S011
3,"1,4,5,8|2,3,7,9|6",False,False,7,5,6,3.650372844844158,0.4743383121127204,0.4797967716651662,4.071644645743789,,1,0,0,4,3,3,6,3,6,4,7,0,1,1,0,0,2,2,1,S001;S004;S005;S009;S011;S012;S013,S002;S003;S008;S010;S014;S015,S006;S007
3,"1,4|2,3,6,7,9|5,8",False,False,11,6,6,4.045209908928797,0.4664036494153787,0.4987156009288775,2.4920131669549073,,1,0,0,5,4,4,6,4,7,4,7,1,2,2,0,0,3,2,1,S001;S004;S013,S002;S003;S006;S007;S008;S010;S014;S015,S005;S009;S011;S012
3,"1,4,8|2,3,7,9|5,6",False,False,7,4,7,3.918458176871948,0.28688938385501533,0.35454360153677517,2.108841955688348,,1,0,0,4,2,3,6,2,7,4,7,0,0,1,0,0,3,2,1,S001;S004;S009;S012;S013,S002;S003;S008;S010;S014;S015,S005;S006;S007;S011
3,"1,4,8|2,3,9|5,6,7",False,False,12,4,7,3.918458176871948,0.06662811534755922,0.07591382138661047,1.1641296589169188,,1,0,0,4,2,4,6,2,8,5,9,0,0,2,0,0,4,3,3,S001;S004;S009;S012;S013,S002;S003;S010;S014,S005;S006;S007;S008;S011;S015
3,"1|2,3,4,5,6,8,9|7",False,False,9,4,3,1.5030463152483768,0.8239072026588053,0.8207637699517323,5.271644246079864,,1,0,0,4,2,4,6,2,7,5,7,0,0,2,0,0,3,3,1,S001;S013,S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S014,S008;S015
3,"1,7|2,3,4,6,8,9|5",False,False,11,4,3,1.2178017788151754,0.6482370752365443,0.7074598091822873,6.177889619107784,,1,0,0,4,2,5,6,2,8,5,7,0,0,3,0,0,4,3,1,S001;S008;S013;S015,S002;S003;S004;S006;S007;S009;S010;S012;S014,S005;S011
3,"1|2,3,4,6,7,8,9|5",False,False,7,3,3,1.2398417576509675,0.9115875862248326,0.9511480471958657,7.583951694509575,,1,0,0,4,2,4,6,2,7,4,6,0,0,2,0,0,3,2,0,S001;S013,S002;S003;S004;S006;S007;S008;S009;S010;S012;S014;S015,S005;S011
3,"1|2,3,4,7,8,9|5,6",False,False,6,3,5,2.471128252989341,0.683645795488343,0.7319087392980207,4.768319913072609,,1,0,0,4,2,3,6,2,7,4,6,0,0,1,0,0,3,2,0,S001;S013,S002;S003;S004;S008;S009;S010;S012;S014;S015,S005;S006;S007;S011
3,"1,5,6|2,3,7|4,8,9",False,False,10,5,7,3.410757780324296,0.03219093223122933,0.05004657116107602,1.08142972523167,,1,0,0,5,2,3,6,2,5,6,9,1,0,1,0,0,1,4,3,S001;S005;S006;S007;S011;S013,S002;S003;S008;S015,S004;S009;S010;S012;S014
3,"1,5,6|2,3,9|4,7,8",False,False,8,4,8,4.449748066497147,0.06644084702883749,0.07589056656590344,1.1610539687933845,,1,0,0,4,2,3,6,2,5,6,8,0,0,1,0,0,1,4,2,S001;S005;S006;S007;S011;S013,S002;S003;S010;S014,S004;S008;S009;S012;S015
3,"1,5|2,3,6,7,9|4,8",False,False,9,6,6,3.387168287246749,0.4676586107921655,0.5285997027571753,2.6423659649698603,,1,0,0,5,3,4,6,3,6,4,7,1,1,2,0,0,2,2,1,S001;S005;S011;S013,S002;S003;S006;S007;S008;S010;S014;S015,S004;S009;S012
3,"1|2,3,5,9|4,6,7,8",False,False,8,4,6,3.218461571158774,0.4226645630965233,0.4596131124449406,3.3633888006324457,,1,0,0,4,2,4,6,2,6,5,7,0,0,2,0,0,2,3,1,S001;S013,S002;S003;S005;S010;S011;S014,S004;S006;S007;S008;S009;S012;S015
3,"1|2,3,6,7,9|4,5,8",False,False,8,5,5,3.119082955218959,0.5122616365879106,0.5843676473190709,4.040678201057987,,1,0,0,5,3,4,6,3,6,4,6,1,1,2,0,0,2,2,0,S001;S013,S002;S003;S006;S007;S008;S010;S014;S015,S004;S005;S009;S011;S012
3,"1,7|2,3,8,9|4,5,6",False,False,12,4,5,2.6752186221502128,0.19843300264740182,0.29606554454763756,1.5320958009203294,,1,0,0,4,2,5,6,2,7,6,8,0,0,3,0,0,3,4,2,S001;S008;S013;S015,S002;S003;S009;S010;S012;S014,S004;S005;S006;S007;S011
3,"1,8,9|2,3,7|4,5,6",False,False,11,4,6,3.218461571158774,0.11115178111606432,0.10840961650076901,1.298698256412857,,1,0,0,4,2,4,6,2,6,6,9,0,0,2,0,0,2,4,3,S001;S009;S010;S012;S013;S014,S002;S003;S008;S015,S004;S005;S006;S007;S011
3,"1,8|2,3,7,9|4,5,6",False,False,9,4,7,4.144588524868612,0.2373264807392035,0.3057361522229408,1.6978905423236161,,1,0,0,4,2,4,6,2,6,5,8,0,0,2,0,0,2,3,2,S001;S009;S012;S013,S002;S003;S008;S010;S014;S015,S004;S005;S006;S007;S011
3,"1,4,5|2,6,7|3,8,9",False,False,12,5,7,3.918458176871948,0.026535626678937333,0.05986938316064035,1.0671742650703502,,1,0,0,4,3,4,6,3,7,5,9,0,1,2,0,0,3,3,3,S001;S004;S005;S011;S013,S002;S006;S007;S008;S015,S003;S009;S010;S012;S014
3,"1,4,5|2,7,8|3,6,9",False,False,11,5,8,4.844585130581786,0.03191671140922607,0.08008433416661424,1.0783541964103984,,1,0,0,4,3,3,6,3,7,5,9,0,1,1,0,0,3,3,3,S001;S004;S005;S011;S013,S002;S008;S009;S012;S015,S003;S006;S007;S010;S014
3,"1,4,5|2,7,9|3,6,8",False,False,10,4,9,5.2630116877439725,0.028921218791352645,0.11413029624503866,1.0725690557677117,,1,0,0,4,2,3,6,2,7,5,9,0,0,1,0,0,3,3,3,S001;S004;S005;S011;S013,S002;S008;S010;S014;S015,S003;S006;S007;S009;S012
3,"1,4,5|2,8,9|3,6,7",False,False,10,6,6,3.284391874236166,0.03335224206944647,0.050972087273169535,1.0809068282999699,,1,0,0,5,3,4,6,3,6,5,7,1,1,2,0,0,2,3,1,S001;S004;S005;S011;S013,S002;S009;S010;S012;S014,S003;S006;S007;S008;S015
3,"1,4,8|2,7,9|3,5,6",False,False,9,4,8,4.336884734034134,0.054165631443646965,0.14413040688083034,1.1249527399049115,,1,0,0,4,2,3,6,2,7,5,8,0,0,1,0,0,3,3,2,S001;S004;S009;S012;S013,S002;S008;S010;S014;S015,S003;S005;S006;S007;S011
3,"1,5,6|2,4,8,9|3,7",False,False,8,5,6,2.889554810151527,0.21636826062736958,0.2441746160985763,1.732657817708145,,1,0,0,5,2,3,6,2,5,6,7,1,0,1,0,0,1,4,1,S001;S005;S006;S007;S011;S013,S002;S004;S009;S010;S012;S014,S003;S008;S015
3,"1,8,9|2,4,5,6|3,7",False,False,10,4,6,3.218461571158774,0.2004780059273416,0.2052608895184169,1.6056995832628629,,1,0,0,4,2,4,6,2,6,6,8,0,0,2,0,0,2,4,2,S001;S009;S010;S012;S013;S014,S002;S004;S005;S006;S007;S011,S003;S008;S015
3,"1,8|2,4,5,9|3,6,7",False,False,9,5,7,3.8055948444089354,0.16130234922723677,0.2096002358756047,1.4939532248492826,,1,0,0,4,3,4,6,3,6,5,7,0,1,2,0,0,2,3,1,S001;S009;S012;S013,S002;S004;S005;S010;S011;S014,S003;S006;S007;S008;S015
3,"1,5|2,7,9|3,4,6,8",False,False,11,4,7,3.6368881283209604,0.2210418516669075,0.290836926670253,1.7544826857818987,,1,0,0,4,2,4,6,2,7,5,9,0,0,2,0,0,3,3,3,S001;S005;S011;S013,S002;S008;S010;S014;S015,S003;S004;S006;S007;S009;S012
3,"1,7|2,5,9|3,4,6,8",False,False,13,4,6,3.083558259859969,0.179681175499256,0.21228307372601932,1.4970712162542137,,1,0,0,4,2,5,6,2,8,6,8,0,0,3,0,0,4,4,2,S001;S008;S013;S015,S002;S005;S010;S011;S014,S003;S004;S006;S007;S009;S012
